display_order,top_level_label,subcategory_id,subcategory_label,function_id,function_label,definition,pilot_core_recommended,cefr_function_level_min_provisional,cefr_function_level_core_provisional,positive_examples,near_miss_examples,common_confusions,decision_rule,do_not_use_when,example_notes,calibration_priority,manual_review_amendment_status,manual_review_evidence_count,manual_review_error_patterns
13,Information and factual communication,1.2,Asking for information,INF_13,asking_for_clarification,Asks someone to explain or make something clearer.,no,A1,A2,Could you tell me more about the meeting schedule? || Can you confirm whether the office is open tomorrow?,The sentence gives information rather than asking for it. || The speaker reports that someone asked a question.,giving_practical_information; checking_understanding; asking_for_clarification,Use when the sentence as a whole communicatively performs this function: Asks someone to explain or make something clearer.,Do not use for reported questions unless the sentence itself is asking the reader or listener.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
14,Information and factual communication,1.2,Asking for information,INF_14,asking_for_details,Asks for more precise information.,no,A1,A2,Could you tell me more about the meeting schedule? || Can you confirm whether the office is open tomorrow?,The sentence gives information rather than asking for it. || The speaker reports that someone asked a question.,giving_practical_information; checking_understanding; asking_for_clarification,Use when the sentence as a whole communicatively performs this function: Asks for more precise information.,Do not use for reported questions unless the sentence itself is asking the reader or listener.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
15,Information and factual communication,1.2,Asking for information,INF_15,asking_for_repetition,Asks someone to repeat something.,no,A1,A1,Could you tell me more about the meeting schedule? || Can you confirm whether the office is open tomorrow?,The sentence gives information rather than asking for it. || The speaker reports that someone asked a question.,giving_practical_information; checking_understanding; asking_for_clarification,Use when the sentence as a whole communicatively performs this function: Asks someone to repeat something.,Do not use for reported questions unless the sentence itself is asking the reader or listener.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
16,Information and factual communication,1.2,Asking for information,INF_16,checking_understanding,Checks that something has been understood.,no,A1,A2,Could you tell me more about the meeting schedule? || Can you confirm whether the office is open tomorrow?,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",stating_facts; relaying_specific_information; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Checks that something has been understood.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
17,Information and factual communication,1.3,Relaying information,INF_17,relaying_specific_information,Passes on specific information from another source.,yes,A2,B1,"To be clear, this issue does not relate to the Telstra network and does not affect your ability to call triple zero. || The service is available from Monday to Friday.","In 2019, fire crews were called to tackle a suspected arson attack. || He said the policy would change next year.",stating_facts; quoting_or_attributing; reporting_past_events; specifying_details,"Use when the sentence conveys specific practical or situational information to the reader and no more specific reporting, explanation, description, or evaluation label is better.","Do not use as a generic fallback before checking more specific labels. If the sentence mainly clarifies, reports, explains, or attributes, use that function instead.","Manual review suggests this can be a useful fallback for clarification-like information where the taxonomy lacks a more precise clarifying function, but it must remain controlled.",medium,amended_from_manual_diagnostic_batches_v1,1+,fallback_boundary; clarifying_gap
18,Information and factual communication,1.3,Relaying information,INF_18,summarising_information,Gives a shortened version of information.,yes,A2,B1,"In short, the article says that prices rose while demand fell. || The speaker briefly sums up the main points of the discussion.","The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",stating_facts; relaying_specific_information; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Gives a shortened version of information.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
19,Information and factual communication,1.3,Relaying information,INF_19,paraphrasing_information,Reformulates information in different words.,no,A2,B1,This sentence reformulates information in different words. || The text clearly reformulates information in different words.,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",stating_facts; relaying_specific_information; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Reformulates information in different words.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
20,Information and factual communication,1.3,Relaying information,INF_20,reporting_source_information,"Attributes information to a person, text, report or institution.",no,A1,A2,The report says that the source information were recorded yesterday. || Officials reported new source information after the review was completed.,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",quoting_or_attributing; relaying_specific_information; extracting_key_information,Use when the main purpose is to identify the source of information or say where information comes from.,"Do not use when the sentence only contains a topic cue; check whether narration, description, explanation or evaluation is the main function.",Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,high,not_amended_in_v1,0,
21,Information and factual communication,1.3,Relaying information,INF_21,extracting_key_information,Selects the main point from a longer text or source.,no,A2,B1,This sentence selects the main point from a longer text or source. || The text clearly selects the main point from a longer text or source.,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",stating_facts; relaying_specific_information; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Selects the main point from a longer text or source.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
22,Information and factual communication,1.3,Relaying information,INF_22,comparing_information_sources,Compares information from two or more sources.,no,B1,B2,The text compares the two courses and shows how they differ. || It contrasts the old system with the new one.,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",stating_facts; relaying_specific_information; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Compares information from two or more sources.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
23,"Description, narration and experience",2.1,"Describing people, things and places",DES_01,describing_people,Describes a person or group.,yes,A1,A1,"Carla is a determined and resourceful character. || The consultant is patient, supportive and experienced.","Eventually, he gives up his ability to become pharaoh. || They were all looking up at the 70th-ranked Hojgaard. || We have seen music’s ability to bring people together.",narrating_events; reporting_past_events; evaluating_importance; describing_characteristics,"Use only when the sentence describes a person or group’s identity, role, appearance, personality, stable qualities, or characteristics.","Do not use merely because a person, group, rank, role, or named character is mentioned. Actions, plot developments, events, quotations, and evaluations involving people require a different primary function.",Manual review showed people/entity mentions can wrongly trigger this label. Require actual description of the person/group.,medium,amended_from_manual_diagnostic_batches_v1,3+,entity_mention_trap; wrong_descriptive_subtype
24,"Description, narration and experience",2.1,"Describing people, things and places",DES_02,describing_objects,"Describes an object, product or thing.",no,A1,A1,The article describes the objects of the new community centre. || The notice gives a clear description of its main features.,The sentence narrates what happened rather than describing stable features. || The sentence evaluates the object instead of describing it.,narrating_events; stating_facts; evaluating_quality,"Use when the sentence as a whole communicatively performs this function: Describes an object, product or thing.",Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
25,"Description, narration and experience",2.1,"Describing people, things and places",DES_03,describing_places,"Describes a place, setting or location.",yes,A1,A1,The village sits on a narrow coastal plain below the mountains. || The stadium has steep stands and a covered roof.,Either giving in to the CFMEU or declaring access rights was not their problem. || Estimated annual number of HCV infections increased. || Fire crews were called to an outbuilding.,reporting_past_events; reporting_statistics; expressing_alternative; describing_conditions,"Use only when the sentence describes a place, setting, location, spatial layout, environment, or physical surroundings.","Do not use merely because a location, site, building, country, institution, stadium, city, or place name is mentioned. If the place is only the setting for an event, report the event instead.",Manual review showed place mentions and site-access topics can incorrectly trigger this label. Require actual place description.,medium,amended_from_manual_diagnostic_batches_v1,2+,place_mention_trap; wrong_descriptive_subtype
26,"Description, narration and experience",2.1,"Describing people, things and places",DES_04,describing_appearance,Describes visual appearance.,no,A1,A1,The article describes the appearance of the new community centre. || The notice gives a clear description of its main features.,The sentence narrates what happened rather than describing stable features. || The sentence evaluates the object instead of describing it.,narrating_events; stating_facts; evaluating_quality,Use when the sentence as a whole communicatively performs this function: Describes visual appearance.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
27,"Description, narration and experience",2.1,"Describing people, things and places",DES_05,describing_characteristics,"Describes qualities, features or properties.",yes,A1,A2,"Combined with 8 hero abilities, the game offers endless deck-building possibilities. || The Pro plan includes 240 channels, unlimited cloud DVR space, and the ability to watch on unlimited screens. || One standout feature is the ability to roll back firmware versions. || She has the ability to summon various types of enemies.","His reading of the game and ability to spot an opening is impressive. || It is the hallmark of incredible songwriting ability. || Eventually, he gives up his ability to become pharaoh.",stating_facts; evaluating_quality; reporting_statistics; narrating_events; describing_people; describing_places,"Use when the sentence describes qualities, features, properties, capabilities, or characteristics of a person, object, product, system, game, class, service, or situation.","Do not use when the sentence explicitly evaluates quality or importance, narrates an event, reports a past action, or primarily gives statistical evidence. A number inside a feature list is usually feature description, not reporting_statistics.","Manual review showed this label is the closest valid CEFR-derived choice for product/game/system feature descriptions, but it must not swallow evaluation or narration.",high,amended_from_manual_diagnostic_batches_v1,8+,feature_description_missed; number_trap; description_vs_evaluation
28,"Description, narration and experience",2.1,"Describing people, things and places",DES_06,describing_conditions,"Describes state, condition or circumstances.",no,A1,A2,The article describes the conditions of the new community centre. || The notice gives a clear description of its main features.,The sentence narrates what happened rather than describing stable features. || The sentence evaluates the object instead of describing it.,narrating_events; stating_facts; evaluating_quality,"Use when the sentence as a whole communicatively performs this function: Describes state, condition or circumstances.",Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
29,"Description, narration and experience",2.1,"Describing people, things and places",DES_07,describing_routines,"Describes habits, routines or repeated actions.",no,A1,A2,The article describes the routines of the new community centre. || The notice gives a clear description of its main features.,The sentence narrates what happened rather than describing stable features. || The sentence evaluates the object instead of describing it.,narrating_events; stating_facts; evaluating_quality,"Use when the sentence as a whole communicatively performs this function: Describes habits, routines or repeated actions.",Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
30,"Description, narration and experience",2.1,"Describing people, things and places",DES_08,describing_processes,Describes how something happens or works.,yes,A2,B1,The article describes the processes of the new community centre. || The notice gives a clear description of its main features.,The sentence narrates what happened rather than describing stable features. || The sentence evaluates the object instead of describing it.,narrating_events; stating_facts; evaluating_quality,Use when the sentence as a whole communicatively performs this function: Describes how something happens or works.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
31,"Description, narration and experience",2.2,Narrating events and experiences,NAR_01,narrating_events,Recounts an event or sequence of events.,yes,A2,B1,"Eventually, he gives up his ability to become pharaoh to support the Jewish people. || Later on, Carla confides in Ryan that she is planning to propose to Lisa and Ryan is thrilled. || Pagano was tagged in, hit a double facebuster, and gave Angel the ability to kick the brawler.","It is a hard to grasp number, but the claims here are very much backed up. || The ability to accelerate masses offers opportunities to study physics. || The Pro plan includes 240 channels and unlimited cloud DVR space.",reporting_past_events; stating_facts; evaluating_quality; explaining_consequences; describing_characteristics; summarising_creative_text,"Use when the sentence recounts fictional, story-world, biographical, personal-history, game, TV, film, wrestling/action, or plot-like events or sequences.","Do not use merely because the sentence mentions a game, story, film, character, historical context, or creative work. If the sentence evaluates a claim, describes features, explains a consequence, or reports real-world news, choose that function instead.","Manual review showed narration was often missed in plot/action sequences, but it can also be overused for non-event evaluation. High confidence requires clear event predicates or a sequence of happenings.",high,amended_from_manual_diagnostic_batches_v1,6+,narrative_missed; game_story_context_trap
32,"Description, narration and experience",2.2,Narrating events and experiences,NAR_02,narrating_personal_experience,Describes personal experience.,no,A1,B1,"After the storm began, the family left the house and found shelter nearby. || She opened the letter, read the message, and called her brother.","The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",stating_facts; relaying_specific_information; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Describes personal experience.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
33,"Description, narration and experience",2.2,Narrating events and experiences,NAR_03,reporting_past_events,Reports something that happened.,yes,A2,B1,"In 2019, fire crews were called to tackle a suspected arson attack. || Chinese AI developer DeepSeek has unveiled its latest model. || SAG-AFTRA sought language that protected its members’ ability to prevent replicas being used.","Eventually, he gives up his ability to become pharaoh to support the Jewish people. || The district’s failure to repurpose these properties has created distrust. || His reading of the game and ability to spot an opening is impressive.",narrating_events; explaining_consequences; evaluating_quality; reporting_statistics; quoting_or_attributing,"Use when the sentence reports a real-world past event, action, incident, announcement, intervention, decision, or development in a factual/news-like style.","Do not use for fictional or plot-summary event sequences, which usually take narrating_events. Do not use when the main function is explanation, evaluation, contrast, or statistics and the past event is only background.","Manual review showed that real event reporting and fictional/action narration need to remain separate. Dates are time references, not statistics.",high,amended_from_manual_diagnostic_batches_v1,8+,event_reporting_vs_narration; date_statistics_trap
34,"Description, narration and experience",2.2,Narrating events and experiences,NAR_04,sequencing_events,Places events in order.,yes,A2,B1,This sentence places events in order. || The text clearly places events in order.,"The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",stating_facts; relaying_specific_information; reporting_past_events,Use when the sentence as a whole communicatively performs this function: Places events in order.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
35,"Description, narration and experience",2.2,Narrating events and experiences,NAR_05,temporal_backgrounding,"Gives time background such as before, after, during or recently.",yes,A2,B1,"This sentence gives time background such as before, after, during or recently. || The text clearly gives time background such as before, after, during or recently.","The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",stating_facts; relaying_specific_information; reporting_past_events,"Use when the sentence as a whole communicatively performs this function: Gives time background such as before, after, during or recently.",Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
36,"Description, narration and experience",2.2,Narrating events and experiences,NAR_06,setting_the_scene,"Establishes situation, background or context.",no,B1,B1,"This sentence establishes situation, background or context. || The text clearly establishes situation, background or context.","The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",stating_facts; relaying_specific_information; reporting_past_events,"Use when the sentence as a whole communicatively performs this function: Establishes situation, background or context.",Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
37,"Description, narration and experience",2.2,Narrating events and experiences,NAR_07,describing_change_over_time,Describes development across time.,no,A2,B1,The article describes the change over time of the new community centre. || The notice gives a clear description of its main features.,The meeting took place in 2019. || The office is open from 9 to 5.,reporting_changes; reporting_statistics; sequencing_events,Use when the sentence as a whole communicatively performs this function: Describes development across time.,Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,high,not_amended_in_v1,0,
38,"Description, narration and experience",2.2,Narrating events and experiences,NAR_08,projecting_future_events,"Describes expected, planned or predicted future events.",no,B1,B1,"By then, hundreds of geriatricians are expected to retire. || With only one person staffing the line, it is feared the ability to respond to calls will be hampered.","Most people, when they are enjoying things, will perform to their best ability. || Your body improves its ability to get energy from carbohydrates.",stating_facts; explaining_consequences; reporting_past_events; expressing_opinion,"Use when the sentence describes a specific expected, planned, feared, scheduled, predicted, or projected future event, change, or outcome.","Do not use merely because the sentence contains “will”. Generic or habitual “will” usually expresses a generalisation or fact, not future projection.","Manual review found a modal-will trap. Future projection requires a specific future event or anticipated outcome, not general tendency.",high,amended_from_manual_diagnostic_batches_v1,3+,modal_will_trap; future_projection_boundary
39,"Explanation, reasoning and argumentation",3.1,Explaining,EXP_01,explaining_causes,Explains why something happened.,yes,B1,B1,"The United States is not hobbled by foreign competition, but rather by domestic regulations. || The problem was caused by a failure to maintain the system.","Although there was an awkward moment, a member of the audience said she blamed another person. || This limits its ability to flag risks early.",contrasting_ideas; reporting_past_events; explaining_consequences; quoting_or_attributing,"Use when the sentence primarily identifies why something happened or what caused a situation, problem, outcome, or evaluation.","Do not use merely because a causal connector appears. If the sentence mainly reports an event or narrates a story, keep that function primary and use cause as secondary if needed.",Manual review showed “not...but rather...” can mark contrast while the main function is identifying cause.,medium,amended_from_manual_diagnostic_batches_v1,3+,cause_vs_contrast; causal_connector_trap
40,"Explanation, reasoning and argumentation",3.1,Explaining,EXP_02,explaining_reasons,"Gives reasons for an action, view or decision.",yes,A2,B1,She left early because she had another appointment. || The team chose this method because it was cheaper and faster.,She left early and arrived home before dinner. || The team announced its decision on Monday.,explaining_causes; justifying_opinion; reporting_past_events,"Use when the sentence as a whole communicatively performs this function: Gives reasons for an action, view or decision.","Do not use just because the sentence contains because, so, as, to or a result phrase if the main function is reporting or narrating events.",Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,high,not_amended_in_v1,0,
41,"Explanation, reasoning and argumentation",3.1,Explaining,EXP_03,explaining_purpose,Explains what something is for.,no,A2,B1,The guide explains the purpose behind the change. || This happens because several conditions affect the process.,The sentence reports what happened but does not explain why or how. || The sentence contains 'because' as a detail but the main purpose is event reporting.,reporting_past_events; describing_processes; expressing_cause_effect,Use when the sentence as a whole communicatively performs this function: Explains what something is for.,"Do not use just because the sentence contains because, so, as, to or a result phrase if the main function is reporting or narrating events.",Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
